"","text"
"102","hallooo sobatbkn kanreg ii bkn  membuka rekrutmen pegawai pemerintah non pegawai negeri ppnpn  inf "
"103"," harga stb   daerah melambung    stok  langka solusi merintah serti a minn"
"104","pemerintah jaga defisit apbn     persen kabarkabinet "
"105","ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"106","alus banget mengkritik merintah  jalan rusak "
"107","ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"108","   guru honorer lulus tes pppk kena ghosting pemerintah  pg "
"109","demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"110"," ideal dana mbangunan disimn  sat tinggal rencana ncairan anggaran  mda menunggu instruk "
"111","pemerintah tentukan defisit apbn    persen "
"112","   liberalisme bangsa     merdeka  kelomk liberal belanda  ralihan k "
"113","   wajar  klo pemerintah aceh tdk  izin keda wan ngibul  anus bas edan   "
"114","  jg mahu tegaskn langkah iran dgn dress code utk rakyatnya  valid  referendum rakya "
"115","fixed exchange rate sistem kurs  ditetaan  merintah"
"116","presiden da acara penyerahan dipa  buku daftar alokasi transfer  daerah ta    k "
"117","pemerintah nyatakan pembangunan sdm kunci gapai indonesia emas jokowipresidenkupembangunanuntukrakyat "
"118","pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas  jokowipresidenku "
"119","pemerintah nyatakan pembangunan sdm  kunci  cai indonesia emas jokowipresidenku "
"120","udah batch  website gaada imovement a a   error  loading sur  hadeuh hadeuhpingin ma "
"121","pemerintah  bltbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"122","babinsa koramil  kuwarasan serda jumadi menghadiri  melaksanakan ndamngan penyaluran bantuan langsu "
"123","pemerintah  bumn bangun sektor keuangan berkelanjutanjokowipresidenkupembangunanuntukrakyat "
"124","pemerintah jaga defisit apbn    persen "
"125","pelaku umkm  nilaian  terhadamerintah terhadakemaman merintah   menciakan ra "
"126","faktor   nong rtumbuhan umkm  work from office wfo pembelajaran tatamuka ptm  keb "
"127","pemerintah tingkatkan ketahanan pangan nasionaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"128","blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosialbltbbm "
"129","pemerintah duli keda masyarakat cerdaspakaibbm bijakpakaibbm bltbbmbantumasyarakat bansosbbmringankanrakyat "
"130","subsidi   pemerintah  tet sasaran cerdaspakaibbm bijakpakaibbm bltbbmbantumasyarakat "
"131","pemerintah  menutumata keda masyarakat bantuanbbmuntukrakyat bltbbmtetsasaran subsiditetsasaran "
"132","blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"133","yuk  bantu pemerintah sukseskan subsidi tet sasaran bantuanbbmuntukrakyat bltbbmtetsasaran "
"134"," temen ak inisialny a yg td masukkin kegruyg namany nusantara mnding lu  deh  gruj "
"135"," tanyain  lihat  data  bps akah data kemiskinan rakyat  ngangguran "
"136","bansos   pemerintah meringankan beban masyarakat bantuanbbmuntukrakyat bltbbmtetsasaran "
"137","pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"138","   hak dokter ndamngan kasih informasinya karna walaun gratis  hak mer "
"139","alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"140","pemerintah  menyusun apbn   menteri keuangan sri mulyani  keterangan rsnya  kantor presiden "
"141","  masyarakat  mam membeli stb  akah   bantuan subsidi  merintah min"
"142","bangun dayak center merintah hormati suku dayak yg  tuan rumah mantakotaduniauntuksemua "
"143","otoritas hong kong  fatwa beijing  menilai akah ngacara asing dibolehkan beracara terkait  ka "
"144","alasan pemerintah cabut izin pakai lokasi acara silaturahmi anies baswedan  aceh "
"145","gus muhaimin berharamerintah dat mengevaluasi kebijakan imr beras   merugikan petani imr ber "
"146"," pro merintah nya  klo  sisi osisi nya  "
"147","bumn dukung nuh uya merintah  memitigasi resiko sistemik rbankan jokowipresidenku "
"148","pemerintah  inflasi ngan jelang nataru dat terkendali jokowipresidenkupembangunanuntukrakyat "
"149","dat  agen rubahan  dat menciakan nilai  da oduk  layanan instansi pemerintah "
"150","pemerintah nyataan mabngunan sdm  kunci ntingjokowipresidenkupembangunanuntukrakyat "
"151"," udah antri lamalama  shubuh  dat antrian stb gratis  merintah   undur besok "
"152","pemerintah targetkan revisi uu migas ramng  jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"153","pemerintah siaturunkan suku bunga kur sur mikro jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"154","toyota  salah  brand raksasa  jeng  fokus mengurangi emisi kabon  mesin mbekaran  indo "
"155","pemerintah  mengakrabkan kaum milenial  ngan lokal jokowipresidenkupembangunanuntukrakyat "
"156","pemerintah siamenjalankan konsolidasi fiskal jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"157","ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"158","sobat bumnbulog pastikan pasokan beras aman enam  kedepanjakarta  november   direktur utama perum b "
"159","anwar menilai merintah indonesia  setutnya  menerima tamu  tujuannya  merusak nilainilai lu "
"160","ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"161","lowongan cpns   dibuka pemerintah  perbanyak guru  tenaga kesehatan "
"162","jessica stern dijadwalkan mengunjungi indonesia da  desember  stern direncanakan bertemu  me "
"163","  okis menjustifikasi kalo merintah kagak becus ngurus jalan   dibikin tes  freestyler"
"164","website karya anak bangsa  merintah yg harganya miliaran "
"165","   indonesia mayoritas nganut ahlul sunnah waljamaah yg  d "
"166","pemerintah tingkatkan ketahanan pangan nasionaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"167","stunting      sorotan merintah     hadirnya resemakanan bergizi in "
"168","rada aneh  oblem ijin gbkentah awalan nya misscom  gimana  ngelolaammerintah  gbksamk "
"169","demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"170","pemerintah  bumn bangun sektor keuangan berkelanjutanjokowipresidenkupembangunanuntukrakyat "
"171","  kesini merintah  condong  monolisasi   harga stb mahal ta stand "
"172","ketua dpd ri  pemerintah perketat penjualan racun  online "
"173","ketua dpd ri  pemerintah perketat penjualan racun  online "
"174","   masyarakat   tv analog sungguh kasihan   merintah  dimatikan"
"175"," rakyat   makan aja  kesusahan ta merintah  menuntut masyarakat beli stb  harganya mahal"
"176","menteri keuangan sri mulyani indrawati  sisi utang indonesia   kondisi  amantercatat "
"177","menteri bumn erick thohir   merintah  imr beras   langkah   "
"178","  mendukung pemerintah  meningkatkan kesejahteraan rakyat indonesia"
"179","  ikutkena kau  nak  merintah"
"180","komitmen merintah  subsidi tet sasaran bantuanbbmuntukrakyat bltbbmtetsasaran"
"181","lho   rwakilan resmi  merintah "
"182","menkes ungkaprioritas pemerintah  bidang kesehatan    ioritas   bergeser "
"183","kirain merintah   "
"184","peramsan tanah negara  merintah palestine jilid ii warga setemt    a "
"185","as umumkan utusan khusus  lgbtqi   indonesiamungkin     jabat merintah  mener "
"186"," kominfo  yg  bertanggung   melindungi data ivasi rakyatnya uu ite y "
"187","caracara licik menandakan kenikan "
"188","kanwil kemenkumham kaltim  bersinergi  pemerintah kabupaten kutai timur   pembentukan  p "
"189","  merintah o rakyat ta  rakyat  nonton tv aja  dirsulit sih k"
"190","pemerintah aceh raih juara  stand terbaik  peringatan  anti korui sedunia disumut "
"191"," masyarakat  kesusahan  membeli stb kebijakan   tet  merintah mematikan tv analog"
"192","pemerintah lakukan nguatan ispo  rcet realisasi sertifikasi "
"193","beasiswa  biaya hidudari pemerintah australia  bond university australiabaca  dead "
"194","lowongan cpns    dibuka pemerintah  perbanyak guru  tenaga kesehatan "
"195","pemerintah siaturunkan suku bunga kur sur mikro     mendukung penuh jokowipresidenku "
"196","sarinah duty free  etalase  keunggulan odukoduk lokal  mendukung cultural diomacy   d "
